actualTime;quantity
8.4382;1057
8.44599;1058
8.44992;1059
8.45412;1060
8.45639;1061
8.45855;1062
8.46256;1063
8.47045;1064
8.47302;1065
8.47473;1066
8.48562;1067
8.48838;1068
8.49464;1069
8.49595;1070
8.49706;1071
8.50145;1072
8.50332;1073
8.50368;1074
8.51221;1075
8.5322;1076
8.5336;1077
8.53468;1078
8.53563;1079
8.53635;1080
8.55055;1081
8.55092;1082
8.55375;1083
8.562;1084
8.57115;1085
8.5742;1086
8.57635;1087
8.58793;1088
8.60217;1089
8.60322;1090
8.60369;1091
8.60635;1092
8.61008;1093
8.61192;1094
8.62003;1095
8.62785;1096
8.63173;1097
8.63338;1098
8.63385;1099
8.63515;1100
8.63912;1101
8.63947;1102
8.64173;1103
8.6436;1104
8.64639;1105
8.64852;1106
8.64922;1107
8.65308;1108
8.65559;1109
8.6667;1110
8.67388;1111
8.67995;1112
8.68302;1113
8.68596;1114
8.69138;1115
8.69298;1116
8.69332;1117
8.69659;1118
8.6982;1119
8.69948;1120
8.7112;1121
8.71178;1122
8.71882;1123
8.7239;1124
8.72698;1125
8.72773;1126
8.7305;1127
8.7311;1128
8.73227;1129
8.73376;1130
8.73481;1131
8.73637;1132
8.74205;1133
8.74425;1134
8.75114;1135
8.75256;1136
8.76335;1137
8.7663;1138
8.76817;1139
8.76833;1140
8.77006;1141
8.77026;1142
8.77093;1143
8.77805;1144
8.78105;1145
8.78123;1146
8.78281;1147
8.78571;1148
8.78607;1149
8.78678;1150
8.78749;1151
8.78774;1152
8.78987;1153
8.79682;1154
8.79709;1155
8.80258;1156
8.80749;1157
8.81046;1158
8.8154;1159
8.81588;1160
8.81886;1161
8.81993;1162
8.82464;1163
8.83237;1164
8.83935;1165
8.84034;1166
8.84638;1167
8.85036;1168
8.85287;1169
8.85354;1170
8.86051;1171
8.86172;1172
8.86516;1173
8.87116;1174
8.87141;1175
8.87157;1176
8.88117;1177
8.88449;1178
8.88503;1179
8.88521;1180
8.89081;1181
8.89105;1182
8.89128;1183
8.89335;1184
8.89586;1185
8.89741;1186
8.89872;1187
8.89888;1188
8.89959;1189
8.9034;1190
8.90535;1191
8.91122;1192
8.91283;1193
8.91761;1194
8.92035;1195
8.92367;1196
8.92384;1197
8.92604;1198
8.92633;1199
8.92786;1200
8.92821;1201
8.93359;1202
8.94325;1203
8.94843;1204
8.95047;1205
8.95098;1206
8.95246;1207
8.9535;1208
8.95521;1209
8.96134;1210
8.96235;1211
8.96477;1212
8.96564;1213
8.97222;1214
8.97391;1215
8.97407;1216
8.97869;1217
8.97978;1218
8.98082;1219
8.98306;1220
8.98511;1221
8.98647;1222
8.99196;1223
8.99267;1224
8.99356;1225
9.00557;1226
9.00672;1227
9.01011;1228
9.01747;1229
9.02146;1230
9.03076;1231
9.03188;1232
9.03411;1233
9.03565;1234
9.03772;1235
9.03974;1236
9.04075;1237
9.04354;1238
9.0445;1239
9.04695;1240
9.04713;1241
9.0497;1242
9.05544;1243
9.0561;1244
9.05993;1245
9.0643;1246
9.07433;1247
9.07506;1248
9.07638;1249
9.0801;1250
9.08205;1251
9.08558;1252
9.08731;1253
9.09107;1254
9.09521;1255
9.09779;1256
9.09994;1257
9.10143;1258
9.10416;1259
9.10816;1260
9.11223;1261
9.1148;1262
9.12186;1263
9.12205;1264
9.1252;1265
9.12912;1266
9.13456;1267
9.13869;1268
9.13986;1269
9.14369;1270
9.14572;1271
9.14773;1272
9.1479;1273
9.1482;1274
9.15067;1275
9.15206;1276
9.15327;1277
9.16232;1278
9.16354;1279
9.16724;1280
9.16839;1281
9.16858;1282
9.16989;1283
9.17342;1284
9.17715;1285
9.17749;1286
9.17866;1287
9.18399;1288
9.18909;1289
9.19414;1290
9.19525;1291
9.19829;1292
9.20195;1293
9.20403;1294
9.20422;1295
9.2048;1296
9.20919;1297
9.20989;1298
9.21102;1299
9.21828;1300
9.21861;1301
9.22166;1302
9.22255;1303
9.22543;1304
9.22679;1305
9.22795;1306
9.22993;1307
9.23222;1308
9.23538;1309
9.23557;1310
9.24068;1311
9.2418;1312
9.24261;1313
9.24528;1314
9.24628;1315
9.24787;1316
9.24907;1317
9.25298;1318
9.25425;1319
9.25937;1320
9.26384;1321
9.27175;1322
9.27441;1323
9.27581;1324
9.28534;1325
9.29561;1326
9.29581;1327
9.2977;1328
9.30058;1329
9.30959;1330
9.31356;1331
9.31681;1332
9.31765;1333
9.31784;1334
9.31909;1335
9.33085;1336
9.33221;1337
9.33446;1338
9.33923;1339
9.34036;1340
9.34796;1341
9.3491;1342
9.3493;1343
9.35048;1344
9.35064;1345
9.35272;1346
9.3531;1347
9.35506;1348
9.35719;1349
9.35792;1350
9.36075;1351
9.36708;1352
9.37594;1353
9.37975;1354
9.38845;1355
9.39056;1356
9.40401;1357
9.41508;1358
9.41724;1359
9.42087;1360
9.4215;1361
9.42563;1362
9.42707;1363
9.4326;1364
9.43277;1365
9.43293;1366
9.44308;1367
9.44448;1368
9.44476;1369
9.44555;1370
9.44692;1371
9.44831;1372
9.44883;1373
9.44986;1374
